Date,Open,High,Low,Close
2022-01-03 00:00:00+00:00,14246.0,14301.2998046875,14207.5,14215.0
2022-01-04 00:00:00+00:00,14303.7001953125,14383.2998046875,14259.0,14283.599609375
2022-01-05 00:00:00+00:00,14346.400390625,14398.5,14336.7001953125,14385.5
2022-01-06 00:00:00+00:00,14445.7998046875,14445.7998046875,14351.0,14446.5
2022-01-07 00:00:00+00:00,14408.0,14408.0,14320.5,14408.0
2022-01-10 00:00:00+00:00,14351.0,14351.0,14262.2998046875,14318.5
2022-01-11 00:00:00+00:00,14312.0,14322.2998046875,14251.3896484375,14313.0
2022-01-12 00:00:00+00:00,14303.0,14355.5,14257.5,14277.0
2022-01-13 00:00:00+00:00,14321.5,14326.2001953125,14266.0,14298.900390625
2022-01-14 00:00:00+00:00,14273.0,14324.2998046875,14239.4501953125,14276.0
2022-01-17 00:00:00+00:00,14290.0,14335.5,14290.0,14314.5
2022-01-18 00:00:00+00:00,14331.2001953125,14381.2998046875,14297.0,14349.7001953125
2022-01-19 00:00:00+00:00,14356.900390625,14398.5,14331.0,14382.2998046875
2022-01-20 00:00:00+00:00,14382.5,14382.5,14300.2998046875,14362.7998046875
2022-01-21 00:00:00+00:00,14324.0,14356.5,14302.2001953125,14343.0
2022-01-24 00:00:00+00:00,14331.0,14364.900390625,14300.0,14329.7001953125
2022-01-25 00:00:00+00:00,14365.0,14365.0,14299.400390625,14365.0
2022-01-26 00:00:00+00:00,14342.5,14354.0,14063.7001953125,14330.5
2022-01-27 00:00:00+00:00,14377.7001953125,14397.5,14325.400390625,14366.400390625
2022-01-28 00:00:00+00:00,14389.2001953125,14413.2998046875,14313.080078125,14389.2001953125
2022-01-31 00:00:00+00:00,14381.0,14406.2998046875,14330.900390625,14381.599609375
2022-02-01 00:00:00+00:00,14350.0,14380.0,14296.2998046875,14350.0
2022-02-02 00:00:00+00:00,14328.0,14382.2998046875,14292.099609375,14322.2998046875
2022-02-03 00:00:00+00:00,14362.7998046875,14404.900390625,14348.7001953125,14363.7998046875
2022-02-04 00:00:00+00:00,14377.0,14416.400390625,14309.099609375,14377.0
2022-02-07 00:00:00+00:00,14373.0,14419.2998046875,14373.0,14400.400390625
2022-02-08 00:00:00+00:00,14393.599609375,14405.599609375,14331.98046875,14405.599609375
2022-02-09 00:00:00+00:00,14379.5,14386.0,14332.400390625,14379.5
2022-02-10 00:00:00+00:00,14334.2001953125,14366.0,14310.099609375,14334.2001953125
2022-02-11 00:00:00+00:00,14340.0,14367.900390625,14298.599609375,14328.0
2022-02-14 00:00:00+00:00,14345.0,14351.400390625,14304.599609375,14344.7001953125
2022-02-15 00:00:00+00:00,14302.0,14321.0,14081.0,14303.0
2022-02-16 00:00:00+00:00,14260.599609375,14297.7998046875,14220.5400390625,14260.599609375
2022-02-17 00:00:00+00:00,14274.7998046875,14362.400390625,14206.6103515625,14274.400390625
2022-02-18 00:00:00+00:00,14360.0,14375.400390625,14301.7998046875,14348.0
2022-02-21 00:00:00+00:00,14321.0,14366.900390625,14267.3095703125,14365.900390625
2022-02-22 00:00:00+00:00,14355.0,14383.7998046875,14321.0,14355.0
2022-02-23 00:00:00+00:00,14395.0,14395.0,14325.7998046875,14395.0
2022-02-24 00:00:00+00:00,14364.0,14457.2998046875,14331.0,14365.0
2022-02-25 00:00:00+00:00,14452.5,14455.0,14319.599609375,14452.5
2022-02-28 00:00:00+00:00,14360.0,14408.0,14341.0,14334.2001953125
2022-03-01 00:00:00+00:00,14395.0,14415.400390625,14320.0,14360.0
2022-03-02 00:00:00+00:00,14424.5,14424.5,14341.0,14425.0
2022-03-03 00:00:00+00:00,14386.5,14415.2998046875,14352.5,14387.5
2022-03-04 00:00:00+00:00,14358.400390625,14398.099609375,14357.7001953125,14358.400390625
2022-03-07 00:00:00+00:00,14381.0,14445.5,14377.2998046875,14381.7001953125
2022-03-08 00:00:00+00:00,14439.5,14439.5,14266.400390625,14406.400390625
2022-03-09 00:00:00+00:00,14381.0,14391.0,14264.7998046875,14362.7001953125
